,,id,name,pseudopath,beginPosition,footprint,size,offline
0,0,6d4360a9-9491-406e-b9fc-b1c93d8a4da3,S3B_SY_2_SYN____20200720T092145_20200720T092445_20200720T210121_0179_041_207_2340_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T09:21:44.645Z,"MULTIPOLYGON (((17.167 29.0714,17.988 31.694,18.8564 34.3186,19.7765 36.9369,20.757 39.5479,19.9834 39.7265,19.2061 39.8959,18.4256 40.0626,17.6534 40.2194,16.8662 40.3754,16.0783 40.5255,15.2707 40.6719,14.4722 40.8117,13.6714 40.9459,12.8739 41.0806,12.068 41.2009,11.2577 41.3186,10.4351 41.4323,9.62008 41.538,8.80119 41.6383,7.97749 41.7329,7.15282 41.8216,6.3306 41.904,5.51168 41.9734,5.09116 39.3474,4.66439 36.7198,4.23066 34.091,3.79139 31.468,4.50082 31.3841,5.22181 31.2878,5.93947 31.1879,6.65095 31.0846,7.36983 30.9762,8.08057 30.8648,8.79823 30.7475,9.50596 30.6281,10.2141 30.5073,10.9088 30.3751,11.6123 30.2444,12.3122 30.1102,13.0236 29.9709,13.7194 29.8294,14.4152 29.6839,15.0965 29.5394,15.7894 29.3865,16.4769 29.2332,17.167 29.0714)))",480077159.0,False
0,1,4977a7c4-6de2-4f70-a8d6-3fa669708bce,S3A_SY_2_SYN____20200720T095811_20200720T100111_20200720T213101_0179_060_350_2160_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T09:58:11.126Z,"MULTIPOLYGON (((10.9225 39.5409,11.9694 42.1363,13.1015 44.7296,14.3313 47.3118,15.678 49.8789,14.7661 50.0843,13.8491 50.2818,12.923 50.4723,11.9938 50.6536,11.0566 50.8314,10.1098 50.9994,9.15921 51.1623,8.19693 51.3127,7.23248 51.4574,6.2569 51.5897,5.2778 51.7186,4.29581 51.8389,3.30919 51.9507,2.31625 52.0544,1.31845 52.1498,0.321259 52.2363,-0.0 52.2613623382424,-0.686267 52.3149,-1.69347 52.3847,-2.70322 52.4462,-3.10017 49.8269,-3.50161 47.2053,-3.90894 44.5824,-4.32135 41.9655,-3.47433 41.8868,-2.64952 41.8043,-1.82998 41.7164,-1.02001 41.6235,-0.201185 41.5235,-0.0 41.4974214517231,0.612703 41.418,1.42435 41.3069,2.22896 41.1903,3.03602 41.0673,3.84138 40.9435,4.64166 40.8092,5.44069 40.6718,6.23441 40.5239,7.02358 40.3738,7.81034 40.2155,8.59625 40.0551,9.37145 39.8898,10.1517 39.7174,10.9225 39.5409)))",804002026.0,False
0,2,a062b54a-f777-4d25-b76c-66aac41e46bd,S3B_SY_2_SYN____20200720T092145_20200720T092445_20200721T223359_0179_041_207_2340_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T09:21:44.645Z,"MULTIPOLYGON (((17.167 29.0714,17.988 31.694,18.8564 34.3186,19.7765 36.9369,20.757 39.5479,19.9834 39.7265,19.2061 39.8959,18.4256 40.0626,17.6534 40.2194,16.8662 40.3754,16.0783 40.5255,15.2707 40.6719,14.4722 40.8117,13.6714 40.9459,12.8739 41.0806,12.068 41.2009,11.2577 41.3186,10.4351 41.4323,9.62008 41.538,8.80119 41.6383,7.97749 41.7329,7.15282 41.8216,6.3306 41.904,5.51168 41.9734,5.09116 39.3474,4.66439 36.7198,4.23066 34.091,3.79139 31.468,4.50082 31.3841,5.22181 31.2878,5.93947 31.1879,6.65095 31.0846,7.36983 30.9762,8.08057 30.8648,8.79823 30.7475,9.50596 30.6281,10.2141 30.5073,10.9088 30.3751,11.6123 30.2444,12.3122 30.1102,13.0236 29.9709,13.7194 29.8294,14.4152 29.6839,15.0965 29.5394,15.7894 29.3865,16.4769 29.2332,17.167 29.0714)))",553840412.0,False
0,3,9037011a-20c3-4e9e-b004-ad0c1f2fcf6b,S3B_SY_2_SYN____20200721T103333_20200721T103633_20200721T220539_0179_041_222_2160_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T10:33:32.925Z,"MULTIPOLYGON (((2.05755 39.5516,3.10634 42.1492,4.23977 44.7424,5.4709 47.3241,6.81896 49.8927,5.9064 50.0997,4.98622 50.2955,4.06272 50.4858,3.14102 50.6649,2.20258 50.8404,1.25595 51.0086,0.288071 51.1703,0.0 51.2160952434514,-0.671217 51.3228,-1.63758 51.4676,-2.5997 51.6102,-3.57528 51.7362,-4.55551 51.8567,-5.55692 51.9713,-6.55605 52.0758,-7.55293 52.1714,-8.55036 52.2582,-9.55402 52.3368,-10.5733 52.4077,-11.5676 52.4617,-11.9646 49.8412,-12.3669 47.2198,-12.7752 44.5966,-13.1886 41.9772,-12.3694 41.9078,-11.5471 41.8255,-10.7224 41.7368,-9.8987 41.6421,-9.07976 41.5419,-8.26004 41.4354,-7.43651 41.3216,-6.62682 41.204,-5.82122 41.0836,-5.02424 40.949,-4.22444 40.815,-3.42777 40.6754,-2.62085 40.5291,-1.83326 40.3791,-1.04745 40.2234,-0.27455 40.0664,0.0 40.0077659654559,0.50648 39.8996,1.28378 39.7302,2.05755 39.5516)))",598478916.0,False
0,4,e458cc02-c1de-4740-ad4f-f82a40525db6,S3A_SY_2_SYN____20200720T100111_20200720T100411_20200722T000845_0179_060_350_2340_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T10:01:11.126Z,"MULTIPOLYGON (((7.33249 29.0603,8.15415 31.6851,9.02204 34.3093,9.94143 36.9282,10.9215 39.5383,10.1507 39.7148,9.3703 39.8873,8.59538 40.0525,7.80946 40.2129,7.02273 40.3713,6.23359 40.5213,5.4399 40.6693,4.6409 40.8066,3.84065 40.9409,3.03532 41.0647,2.22829 41.1877,1.42365 41.3043,0.612173 41.4154,0.0 41.494745828844,-0.201786 41.5209,-1.02042 41.6209,-1.83047 41.7138,-2.64895 41.8017,-3.4747 41.8842,-4.32176 41.9629,-4.74235 39.3375,-5.1685 36.7096,-5.6019 34.0813,-6.04171 31.4564,-5.30318 31.3619,-4.59088 31.2671,-3.88121 31.1684,-3.16355 31.0646,-2.45852 30.9584,-1.74236 30.8465,-1.03558 30.7319,-0.331002 30.6133,0.0 30.5556246194925,0.377197 30.4899,1.08119 30.3681,1.78447 30.2372,2.4846 30.1055,3.1813 29.9651,3.87766 29.8237,4.57322 29.6757,5.26672 29.5279,5.95755 29.3756,6.6456 29.2199,7.33249 29.0603)))",762571588.0,False
0,5,08b52cd5-eda4-4026-8fc2-18c8b7207049,S3A_SY_2_SYN____20200721T093200_20200721T093500_20200723T003221_0179_060_364_2160_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T09:32:00.172Z,"MULTIPOLYGON (((17.4666 39.5388,18.5143 42.1366,19.6465 44.7293,20.8765 47.3116,22.2226 49.8798,21.3107 50.0852,20.3942 50.2825,19.4686 50.4729,18.5385 50.6543,17.6009 50.8321,16.654 51.0001,15.7034 51.1629,14.7396 51.3136,13.7764 51.458,12.8016 51.5901,11.8223 51.7189,10.8421 51.8391,9.85409 51.9509,8.862 52.0545,7.86979 52.1493,6.86432 52.2366,5.8563 52.3152,4.84714 52.385,3.84081 52.4463,3.44505 49.8267,3.04352 47.205,2.63588 44.5824,2.22317 41.9633,3.05548 41.8859,3.87748 41.8039,4.696 41.7162,5.52001 41.6218,6.33872 41.5218,7.15394 41.4162,7.9648 41.3052,8.77309 41.1881,9.58018 41.0652,10.3855 40.9413,11.1858 40.8071,11.9849 40.6697,12.7786 40.5218,13.5678 40.3717,14.3545 40.2134,15.1407 40.0529,15.9176 39.8873,16.6959 39.7153,17.4666 39.5388)))",841925098.0,False
0,6,0320bc1d-e7dd-415d-aa5d-ca91b26db275,S3A_SY_2_SYN____20200720T100111_20200720T100411_20200720T213120_0179_060_350_2340_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T10:01:11.126Z,"MULTIPOLYGON (((7.33249 29.0603,8.15415 31.6851,9.02204 34.3093,9.94143 36.9282,10.9215 39.5383,10.1507 39.7148,9.3703 39.8873,8.59538 40.0525,7.80946 40.2129,7.02273 40.3713,6.23359 40.5213,5.4399 40.6693,4.6409 40.8066,3.84065 40.9409,3.03532 41.0647,2.22829 41.1877,1.42365 41.3043,0.612173 41.4154,0.0 41.494745828844,-0.201786 41.5209,-1.02042 41.6209,-1.83047 41.7138,-2.64895 41.8017,-3.4747 41.8842,-4.32176 41.9629,-4.74235 39.3375,-5.1685 36.7096,-5.6019 34.0813,-6.04171 31.4564,-5.30318 31.3619,-4.59088 31.2671,-3.88121 31.1684,-3.16355 31.0646,-2.45852 30.9584,-1.74236 30.8465,-1.03558 30.7319,-0.331002 30.6133,0.0 30.5556246194925,0.377197 30.4899,1.08119 30.3681,1.78447 30.2372,2.4846 30.1055,3.1813 29.9651,3.87766 29.8237,4.57322 29.6757,5.26672 29.5279,5.95755 29.3756,6.6456 29.2199,7.33249 29.0603)))",688492999.0,False
0,7,a92c1a15-8add-4083-a38b-b1604eaa669d,S3B_SY_2_SYN____20200720T091845_20200720T092145_20200720T210100_0179_041_207_2160_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T09:18:44.645Z,"MULTIPOLYGON (((20.758 39.5505,21.8067 42.1483,22.9402 44.741,24.1711 47.3233,25.5187 49.8916,24.6074 50.0983,23.6861 50.2943,22.7622 50.4846,21.8407 50.6636,20.9024 50.8391,19.9561 51.0072,18.9882 51.1689,18.0291 51.3214,17.0617 51.4663,16.101 51.6087,15.1233 51.7349,14.1437 51.8553,13.1438 51.9697,12.1446 52.0742,11.1473 52.1698,10.1486 52.2567,9.14156 52.3355,8.12735 52.4061,7.13251 52.46,6.73589 49.8402,6.33393 47.2184,5.9254 44.5956,5.51209 41.9759,6.33104 41.9065,7.15329 41.8242,7.978 41.7355,8.80173 41.6408,9.62065 41.5406,10.4357 41.4348,11.2583 41.3211,12.0686 41.2035,12.8746 41.0832,13.6722 40.9485,14.473 40.8143,15.2716 40.6744,16.079 40.528,16.8671 40.3779,17.6543 40.222,18.4265 40.0651,19.2071 39.8985,19.9844 39.7291,20.758 39.5505)))",833165185.0,False
0,8,d6cdfa19-19f5-4320-b223-a687ff027cc0,S3A_SY_2_SYN____20200721T093500_20200721T093800_20200723T003246_0179_060_364_2340_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T09:35:00.172Z,"MULTIPOLYGON (((13.8775 29.0571,14.6982 31.6836,15.5668 34.3061,16.4855 36.9257,17.4656 39.5363,16.6949 39.7127,15.9168 39.8847,15.1398 40.0504,14.3536 40.2108,13.5669 40.3691,12.7778 40.5192,11.9841 40.6671,11.1851 40.8045,10.3848 40.9387,9.57948 41.0626,8.77242 41.1856,7.96416 41.3026,7.15334 41.4137,6.33815 41.5193,5.51947 41.6192,4.6955 41.7136,3.87701 41.8013,3.05484 41.8834,2.22276 41.9607,1.8022 39.3345,1.37691 36.7069,0.94218 34.079,0.503786 31.4537,1.2342 31.3602,1.9508 31.2648,2.66204 31.166,3.37774 31.0624,4.08439 30.956,4.79478 30.8449,5.50647 30.7296,6.21207 30.6107,6.92083 30.4873,7.62536 30.3653,8.32912 30.2343,9.02959 30.1026,9.72637 29.9621,10.4228 29.8206,11.1181 29.6727,11.8113 29.525,12.5017 29.3727,13.1896 29.217,13.8775 29.0571)))",640812270.0,False
0,9,5ddd4383-35b0-4617-bc8f-587cf12d445a,S3B_SY_2_SYN____20200721T103333_20200721T103633_20200723T004552_0179_041_222_2160_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T10:33:32.925Z,"MULTIPOLYGON (((2.05755 39.5516,3.10634 42.1492,4.23977 44.7424,5.4709 47.3241,6.81896 49.8927,5.9064 50.0997,4.98622 50.2955,4.06272 50.4858,3.14102 50.6649,2.20258 50.8404,1.25595 51.0086,0.288071 51.1703,0.0 51.2160952434514,-0.671217 51.3228,-1.63758 51.4676,-2.5997 51.6102,-3.57528 51.7362,-4.55551 51.8567,-5.55692 51.9713,-6.55605 52.0758,-7.55293 52.1714,-8.55036 52.2582,-9.55402 52.3368,-10.5733 52.4077,-11.5676 52.4617,-11.9646 49.8412,-12.3669 47.2198,-12.7752 44.5966,-13.1886 41.9772,-12.3694 41.9078,-11.5471 41.8255,-10.7224 41.7368,-9.8987 41.6421,-9.07976 41.5419,-8.26004 41.4354,-7.43651 41.3216,-6.62682 41.204,-5.82122 41.0836,-5.02424 40.949,-4.22444 40.815,-3.42777 40.6754,-2.62085 40.5291,-1.83326 40.3791,-1.04745 40.2234,-0.27455 40.0664,0.0 40.0077659654559,0.50648 39.8996,1.28378 39.7302,2.05755 39.5516)))",672394257.0,False
0,10,b18b07d0-e486-43cb-b863-a767cd462881,S3B_SY_2_SYN____20200720T091845_20200720T092145_20200721T223337_0179_041_207_2160_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T09:18:44.645Z,"MULTIPOLYGON (((20.758 39.5505,21.8067 42.1483,22.9402 44.741,24.1711 47.3233,25.5187 49.8916,24.6074 50.0983,23.6861 50.2943,22.7622 50.4846,21.8407 50.6636,20.9024 50.8391,19.9561 51.0072,18.9882 51.1689,18.0291 51.3214,17.0617 51.4663,16.101 51.6087,15.1233 51.7349,14.1437 51.8553,13.1438 51.9697,12.1446 52.0742,11.1473 52.1698,10.1486 52.2567,9.14156 52.3355,8.12735 52.4061,7.13251 52.46,6.73589 49.8402,6.33393 47.2184,5.9254 44.5956,5.51209 41.9759,6.33104 41.9065,7.15329 41.8242,7.978 41.7355,8.80173 41.6408,9.62065 41.5406,10.4357 41.4348,11.2583 41.3211,12.0686 41.2035,12.8746 41.0832,13.6722 40.9485,14.473 40.8143,15.2716 40.6744,16.079 40.528,16.8671 40.3779,17.6543 40.222,18.4265 40.0651,19.2071 39.8985,19.9844 39.7291,20.758 39.5505)))",907035951.0,False
